,bulan_kejadian,kota_administrasi,ketinggian_air
0,10,Jakarta Pusat,10 s/d 40 
1,10,Jakarta Barat,20 s/d 30
2,10,Jakarta Timur,30 s/d 80 
3,10,Jakarta Timur,50 s/d 60 
4,10,Jakarta Timur,10 s/d 50 
5,11,Jakarta Utara,2 s/d 15 
6,11,Jakarta Utara,5 s/d 10 
7,11,Jakarta Barat,5 s/d 30 
8,11,Jakarta Selatan,10 s/d 20 
9,11,Jakarta Selatan,10 s/d 30 
10,11,Jakarta Selatan,10 s/d 30 
11,11,Jakarta Selatan,60 s/d 70 
12,11,Jakarta Selatan,40 s/d 70 
13,11,Jakarta Timur,30 s/d 50 
14,11,Jakarta Timur,60 s/d 80 
15,11,Jakarta Timur,10 s/d 100 
16,11,Jakarta Timur,20 s/d 60 
17,11,Jakarta Timur,10 s/d 30 
18,11,Jakarta Timur,10 s/d 50 
19,11,Jakarta Timur,10 s/d 15 
20,11,Jakarta Timur,5 s/d 20 
21,12,Jakarta Utara,5 s/d 10 
22,12,Jakarta Utara,3 s/d 10 
23,12,Jakarta Utara,5 s/d 10 
24,12,Jakarta Barat,6 s/d 10 
25,12,Jakarta Barat,15 s/d 60 
26,12,Jakarta Barat,20 s/d 30 
27,12,Jakarta Barat,10 s/d 40 
28,12,Jakarta Barat,50
29,12,Jakarta Selatan,20 s/d 60 
30,12,Jakarta Selatan,20 s/d 60 
31,12,Jakarta Selatan,30
32,12,Jakarta Selatan,70
33,12,Jakarta Selatan,50 s/d 80 
34,12,Jakarta Selatan,10 s/d 40 
35,12,Jakarta Selatan,20 s/d 40 
36,12,Jakarta Selatan,10 s/d 100 
37,12,Jakarta Selatan,30 s/d 80 
38,12,Jakarta Selatan,20 s/d 40 
39,12,Jakarta Timur,10 s/d 100 
40,12,Jakarta Timur,20
41,12,Jakarta Timur,10 s/d 30 
42,12,Jakarta Timur,10 s/d 50
